Title,1st Annotator,2nd Annotator,3rd Annotator,Voting Result,Final Take,Labelling
"Atap bangunan pesantren di Situbondo roboh, satu orang meninggal dan belasan terluka â€“ Kenapa berulang?",Negative,Negative,Negative,,,
,,,,,,
Mendagri Tito Karnavian ancam berhentikan kepala daerah yang tak dukung program strategis nasional â€“ Apakah bisa demikian?,Neutral,Neutral,Negative,,,
,,,,,,
Elegi Suku Malind Anim di balik PSN Merauke â€“ 'Sedang dalam pemusnahan',Neutral,Neutral,Neutral,,,
,,,,,,
Pro-kontra fotografer di ruang publik â€“ Pelanggaran privasi?,Neutral,Neutral,Negative,,,
,,,,,,
Purbaya hendak terbitkan aturan berantas pakaian bekas impor â€“ Kenapa produk ilegal itu sulit ditangani?,Positive,Positive,Neutral,,,
,,,,,,
"Prabowo siap kirim pasukan perdamaian ke Gaza, Netanyahu berkata 'Israel yang menentukan'",Neutral,Neutral,Neutral,,,
,,,,,,
"Disekap, disetrum, dan dipukul hingga babak belur: Pengakuan WNI yang menyelamatkan diri dari perusahaan scam di Kamboja",Negative,Negative,Neutral,,,
,,,,,,
"Pasukan internasional tidak akan mau menegakkan perdamaian di Gaza, kata Raja Yordania",Neutral,Negative,Neutral,,,
,,,,,,
Kontradiksi gelar pahlawan nasional untuk Marsinah dan Soeharto â€“ 'Ini manipulasi politik dan sejarah yang luar biasa',Negative,Neutral,Negative,,,
,,,,,,
Bahasa Portugis masuk sekolah â€“ 'Pengajar di Indonesia tidak sampai lima orang',Negative,Neutral,Negative,,,
,,,,,,
"Prabowo restui pembentukan Ditjen Pesantren di Kemenag, apa urgensinya?",Neutral,Neutral,Negative,,,
,,,,,,
"Tolak atlet Israel, Indonesia disanksi penyelenggara Olimpiade â€“ Bagaimana kontroversinya?",Neutral,Neutral,Neutral,,,
,,,,,,
"Mikroplastik dalam air hujan di Jakarta â€“ 'Bukan air hujannya yang berbahaya, tapi udaranya'",Negative,Negative,Neutral,,,
,,,,,,
WNA kini bisa jadi bos BUMN â€“ Apa untung dan ruginya untuk Indonesia?,Neutral,Negative,Neutral,,,
,,,,,,
Kampung di Buton meminjam aksara Korea demi lestarikan bahasa Cia-Cia yang terancam punah â€“ Berhasilkah mereka?,Neutral,Neutral,Neutral,,,
,,,,,,
Prabowo ingin Indonesia punya mobil nasional dalam tiga tahun â€“ Apa yang bisa dipelajari dari kegagalan mobil Timor dan Esemka?,Neutral,Positive,Neutral,,,
,,,,,,
'Sekarang sudah lega' â€“ Mengapa putusan MK jadi kabar bahagia masyarakat adat yang tinggal di hutan?,Positive,Neutral,Positive,,,
,,,,,,
Kematian mahasiswa Timothy Anugerah dan dugaan perundungan di Universitas Udayana,Negative,Negative,Negative,,,
,,,,,,
Indonesia pulangkan dua warga UK terpidana mati dan seumur hidup kasus narkoba â€“ Apa alasannya?,Neutral,Neutral,Neutral,,,
,,,,,,
"Eks Kapolres Ngada divonis 19 tahun penjara, terbukti cabuli tiga anak dan unggah video di situs porno Australia",Positive,Negative,Neutral,,,
,,,,,,
'Warga menjaga guru seperti darah daging mereka' â€“ Siapa sebenarnya yang membunuh guru Melani Wamea di Yahukimo?,Negative,Negative,Neutral,,,
,,,,,,
Sekolah-sekolah yang mengelola dapur mandiri di tengah ribuan kasus keracunan MBG,Negative,Neutral,Neutral,,,
,,,,,,
Survei kinerja Prabowo â€“ Apakah gelombang unjuk rasa diperhitungkan dan sejauh mana bias dalam klaim kepuasan publik?,Neutral,Neutral,Negative,,,
,,,,,,
"Bagaimana militer, pengusaha, dan partai politik menopang kekuasaan Prabowo Subianto?",Neutral,Neutral,Negative,,,
,,,,,,
"Setahun pemerintahan Prabowo â€“ Citra 'kakek gemoy' berakhir, karakter militeristis kembali tampil",Neutral,Neutral,Negative,,,
,,,,,,
Dilema pembangunan di Mandalika â€“ Haruskah pariwisata Lombok meniru Bali?,Neutral,Neutral,Neutral,,,
,,,,,,
Setahun pemerintahan Prabowo-Gibran â€“ 'Arah balik demokrasi' dan apa saja tantangan yang mungkin dihadapi ke depan?,Neutral,Neutral,Negative,,,
,,,,,,
Pajak uang pensiun dan pesangon digugat ke MK â€“ 'Mengapa negara tega?',Neutral,Neutral,Negative,,,
,,,,,,
'Kekerasan seksual di pesantren bukan dibesar-besarkan' â€“ Lebih dari 40.000 santri rentan mengalami kekerasan seksual,Negative,Negative,Negative,,,
,,,,,,
'Jangan pisahkan Zahira dengan Mama' â€“ Kisah ibu yang kewarganegaraannya ditolak Indonesia dan Malaysia,Neutral,Negative,Neutral,,,
,,,,,,
PSSI pecat Patrick Kluivert setelah gagal membawa Indonesia lolos ke Piala Dunia 2026,Negative,Positive,Neutral,,,
,,,,,,
Apakah renovasi Ponpes Al Khoziny di Sidoarjo dapat menggunakan APBN? â€“ 'Jangan sampai niat baik langgar tata kelola',Neutral,Neutral,Neutral,,,
,,,,,,
'Alarm keras' radiasi Cesium 137 â€“ Mengapa pemerintah Indonesia baru bertindak setelah ada laporan dari AS?,Negative,Negative,Negative,,,
,,,,,,
Isi percakapan Prabowo dan Trump di KTT Gaza yang terekam dan tersebar â€“ Apa respons Menlu Sugiono?,Neutral,Neutral,Neutral,,,
,,,,,,
"Cerita sarjana yang sulit cari kerja dan mendaftar Program Magang Nasional â€“ 'Tidak apa lari dari jurusan, yang penting kerja'",Positive,Negative,Neutral,,,
,,,,,,
Foto-foto yang disembunyikan jadi saksi peristiwa kekerasan 1965 â€“ Dari pawai meriah PKI hingga dua jenazah tanpa nama,Neutral,Negative,Neutral,,,
,,,,,,
'Ekosida' Pantura: Bagaimana konversi lahan tani ke industri membunuh mimpi swasembada pangan,Negative,Negative,Neutral,,,
,,,,,,
"Menkeu Purbaya tolak utang kereta cepat ditanggung APBN, adakah solusi menyelesaikan beban utang proyek ini?",Neutral,Neutral,Negative,,,
,,,,,,
Kebijakan 10% etanol pada BBM dikhawatirkan memperparah deforestasi dan konflik lahan,Negative,Neutral,Negative,,,
,,,,,,
"'Siswa sekolah sempat dipulangkan, tiang listrik bergoyang' â€“ Kesaksian warga Sangihe dan Talaud Sulawesi Utara saat gempa magnitudo 7,4 mengguncang",Negative,Negative,Neutral,,,
,,,,,,
'Kami diadu perusahaan' â€“ Penyerangan terhadap masyarakat adat penentang PSN Merauke,Negative,Negative,Neutral,,,
,,,,,,
'Ekosida' di Pantura: 'Kongkalikong' yang menggerus ruang hidup warga pesisir utara Jawa,Negative,Negative,Neutral,,,
,,,,,,
"Polisi mulai selidiki penyebab ambruknya Ponpes Al Khoziny, keluarga korban menanti kepastian identifikasi â€“ 'Istri saya masih terbayang anaknya seolah masih hidup'",Neutral,Negative,Neutral,,,
,,,,,,
Polemik kebijakan Dedi Mulyadi minta warga Jabar donasi Rp1.000 per hari â€“ 'Kalau dikorupsi bagaimana?',Neutral,Neutral,Negative,,,
,,,,,,
Polemik kebijakan Dedi Mulyadi minta warga Jabar donasi Rp1.000 per hari â€“ 'Kalau dikorupsi bagaimana?',Neutral,Neutral,Negative,,,
,,,,,,
"Ponpes Al Khoziny sebut ambruknya musala sebagai 'takdir dari Allah', polisi janji lakukan upaya hukum â€“ 'Tidak bisa berlindung dengan dalih takdir'",Neutral,Negative,Neutral,,,
,,,,,,
"Gedung Pondok Pesantren Al Khoziny di Sidoarjo runtuh â€“ Pencarian korban dihentikan, ditemukan 61 jenazah dan 7 bagian tubuh",Negative,Negative,Neutral,,,
,,,,,,
"'Ekosida' di Pantura: Pengembangan industri ancam pesisir utara Jawa makin cepat tenggelam â€“ 'Banjir sudah puluhan tahun, ini pembiaran sistematis'",Negative,Negative,Neutral,,,
,,,,,,
Meteor melintasi Cirebon dan jatuh di Laut Jawa â€“ Seberapa besar ukuran dan apa dampaknya?,Neutral,Neutral,Neutral,,,
,,,,,,
"Tiga seniman perempuan Aceh melawan dominasi patriarki â€“ 'Saya tidak menolak syariat, tapi kenapa fokusnya ke tubuh perempuan, dan bukan korupsi'",Positive,Neutral,Neutral,,,
,,,,,,
"Video,
Cerita Alfatih, santri yang terjebak dua malam di reruntuhan Ponpes Al Khoziny
, Durasi 2,12",Neutral,Positive,Neutral,,,
,,,,,,
Teka-teki kematian siswi SMK di Bandung Barat yang dikaitkan keracunan MBG,Negative,Negative,Neutral,,,
,,,,,,
"Keresahan warga dekat pabrik sumber radioaktif di Banten â€“ 'Mereka pakai masker, sarung tangan, tapi enggak ada yang menjelaskan'",Negative,Negative,Neutral,,,
,,,,,,
Kisah tim penyelamat mengevakuasi korban reruntuhan Ponpes Al Khoziny,Neutral,Negative,Neutral,,,
,,,,,,
Prabowo instruksikan rapid test MBG â€“ Apakah efektif cegah keracunan dan keberulangan status KLB?,Neutral,Positive,Neutral,,,
,,,,,,
"Kesaksian santri ikut pengecoran Ponpes Al Khoziny â€“ 'Seandainya masih di atas bangunan, tentu ikut jatuh'",Neutral,Neutral,Neutral,,,
,,,,,,
Warga Aceh tuntut kompensasi pemadaman listrik berhari-hari â€“ 'Pemadaman listrik terburuk pasca-konflik dan tsunami',Negative,Negative,Neutral,,,
,,,,,,
"DPR sahkan Revisi UU BUMN â€“ Kementerian BUMN dihapus, diubah menjadi Badan Pengaturan",Neutral,Neutral,Neutral,,,
,,,,,,
Kesaksian korban selamat Ponpes Al Khoziny: 'Antara sadar dan mimpi dalam gelap',Neutral,Negative,Neutral,,,
,,,,,,
'Manusia Jawa' kembali ke Indonesia â€“ Sisi gelap penemuan Pithecanthropus Erectus,Negative,Neutral,Neutral,,,
,,,,,,
Tiga terdakwa kasus pemerasan PPDS Undip divonis 'lebih ringan' dari tuntutan jaksa â€“ 'Putusan ini tidak memberikan efek jera kepada pelaku',Negative,Negative,Neutral,,,
,,,,,,
"TNI diduga tembak warga di Asmat, Papua hingga tewas â€“ 'Kenapa menangani orang mabuk harus pakai senjata?'",Negative,Negative,Negative,,,
,,,,,,
"Video,
Keluarga korban ponpes roboh: 'Apakah keponakan saya bisa ditemukan dengan selamat?'
, Durasi 2,07",Negative,Negative,Neutral,,,
,,,,,,
Tragedi 1965 dan 'mantra ampuh' di balik citra surgawi pariwisata Bali,Neutral,Neutral,Neutral,,,
,,,,,,
Trump dan Netanyahu menyepakati rencana perdamaian di Gaza â€“ Apa sikap Indonesia?,Neutral,Neutral,Neutral,,,
,,,,,,
"Ribuan kasus keracunan, SPPG terus beroperasi â€“ 'Sertifikat laik kebersihan sedang diurus'",Negative,Negative,Neutral,,,
,,,,,,
"Video,
Pesantren ambruk, ratusan siswa dievakuasi
, Durasi 1,34",Negative,Negative,Neutral,,,
,,,,,,
Tragedi 1965 di Padang Halaban â€“ 'Tanah rakyat diambil tentara dengan memanfaatkan sentimen PKI',Negative,Neutral,Neutral,,,
,,,,,,
MK putuskan UU Tapera bertentangan dengan UUD 1945 dan harus diubah â€“ 'Tapera akan menjadi beban pekerja terlebih lagi bagi yang terkena PHK',Positive,Negative,Negative,,,
,,,,,,
"Tentara merampas tanah rakyat secara sistematis saat Tragedi 1965 â€“ Dicap komunis, lahannya dipakai berbisnis",Negative,Neutral,Negative,,,
,,,,,,
Ribuan kasus keracunan akibat MBG â€“ Evaluasi SPPG dan standar higienis jadi prioritas pemerintah,Negative,Negative,Neutral,,,
,,,,,,
'Ekspektasi versus realita' â€“ Apakah Bali telah menjadi korban kesuksesan pariwisata?,Neutral,Neutral,Neutral,,,
,,,,,,
Di balik RUU Perampasan Aset: Kisah buron kakak Edy Tansil dan 'ketakutan dipakai sebagai alat gebuk negara',Neutral,Neutral,Neutral,,,
,,,,,,
"Video,
Bagaimana kebijakan Rp200 triliun Menkeu Purbaya bisa terasa oleh masyarakat?
, Durasi 5,33",Neutral,Neutral,Neutral,,,
,,,,,,
"APBN 2026: Defisit Rp689,1 triliun â€“ â€˜Tingkatkan penerimaan, pajak kelas atas belum tergarapâ€™",Negative,Neutral,Neutral,,,
,,,,,,
Apakah korban keracunan Makan Bergizi Gratis bisa menggugat pemerintah secara hukum?,Neutral,Neutral,Neutral,,,
,,,,,,
"IKN jadi ibu kota politik pada 2028, apa maksudnya?",Neutral,Neutral,Neutral,,,
,,,,,,
"Dua karyawan Freeport yang terjebak di bawah tanah ditemukan meninggal dunia, polisi ungkap identitasnya",Negative,Negative,Neutral,,,
,,,,,,
Warga Pati kembali demo tuntut bupati lengser â€“ Bagaimana mekanisme pemberhentian kepala daerah?,Neutral,Negative,Neutral,,,
,,,,,,
"Nestapa pengamen ondel-ondel Betawi â€“ 'Kalau dilarang, kita makan apa?'",Neutral,Negative,Neutral,,,
,,,,,,
"Video,
Uji formil UU TNI ditolak MK, apa dampaknya?
, Durasi 3,34",Neutral,Neutral,Neutral,,,
,,,,,,
Mengapa Prabowo merekrut sejumlah eks-tentara pada era tragedi 1998?,Neutral,Neutral,Neutral,,,
,,,,,,
"Kerusuhan di Kabupaten Yalimo, Papua Pegunungan, disinyalir dipicu ucapan rasis pelajar SMA â€“ Mengapa kasus rasisme selalu berulang?",Negative,Negative,Negative,,,
,,,,,,
Polisi tembak polisi hingga tewas di Sumbar divonis hukuman penjara seumur hidup,Neutral,Negative,Neutral,,,
,,,,,,
MK tolak uji formil UU TNI â€“ Apa alasannya dan bagaimana dampaknya?,Neutral,Neutral,Neutral,,,
,,,,,,
"Prabowo lantik Djamari Chaniago sebagai Menko Polkam, Eric Thohir Menpora",Neutral,Neutral,Neutral,,,
,,,,,,
"Video,
Kiprah perempuan adat Yenbuba merestorasi terumbu karang Raja Ampat yang rusak
, Durasi 2,40",Positive,Positive,Neutral,,,
,,,,,,
Video Presiden Prabowo tayang di bioskop â€“ Apakah praktik Orde Baru hadir kembali?,Neutral,Neutral,Negative,,,
,,,,,,
"Stok BBM di SPBU swasta nyaris nihil, apa dampak dugaan monopoli terhadap konsumen?",Negative,Negative,Negative,,,
,,,,,,
'Paket stimulus ekonomi 8+4+5' demi kejar target pertumbuhan ekonomi â€“ Apa saja yang perlu diketahui?,Positive,Positive,Neutral,,,
,,,,,,
Lima anggota geng ditangkap terkait pembunuhan staf KBRI di Peru â€“ Bagaimana perkembangan investigasi sejauh ini?,Neutral,Negative,Neutral,,,
,,,,,,
Presiden Prabowo akan bagikan 330 ribu televisi pintar ke sekolah â€“ Apakah program ini tepat sasaran?,Neutral,Positive,Neutral,,,
,,,,,,
Presiden Prabowo akan bagikan 330 ribu televisi pintar ke sekolah â€“ Apakah program ini tepat sasaran?,Neutral,Positive,Neutral,,,
,,,,,,
"Video,
Apa hubungan bendera One Piece di demonstrasi Nepal dan Prancis dengan Indonesia?
, Durasi 3,43",Neutral,Neutral,Neutral,,,
,,,,,,
Di balik 'Norma: Antara Mertua dan Menantu' â€“ Mengapa film tema selingkuh digemari di Asia Tenggara?,Neutral,Neutral,Neutral,,,
,,,,,,
Dua pria Australia ditangkap atas tuduhan memasok senjata api ke TPNPB-OPM,Positive,Negative,Neutral,,,
,,,,,,
Mahasiswa Indonesia meninggal setelah menemani kunjungan pejabat ke Austria,Negative,Negative,Neutral,,,
,,,,,,
Anggota TNI jadi tersangka kasus dugaan pembunuhan kepala cabang BRI â€“ Ada apa di balik kasus ini?,Negative,Negative,Neutral,,,
,,,,,,
"Suntikan dana pemerintah Rp200 triliun ke perbankan, apa yang patut diketahui?",Neutral,Positive,Neutral,,,
,,,,,,
"Bahlil izinkan tambang nikel beroperasi kembali di Raja Ampat, Greenpeace sebut 'pemerintah dan korporasi serakah'",Negative,Negative,Negative,,,
,,,,,,
"Banjir Bali terparah sepanjang satu dekade, korban meninggal bertambah menjadi 16 orang",Negative,Negative,Neutral,,,
,,,,,,
"Bendera One Piece berkibar di tengah aksi demonstrasi di Indonesia, Nepal, dan Prancis - 'Bentuk rasa frustrasi anak muda pada pemerintah'",Negative,Negative,Neutral,,,
,,,,,,
Kisah perempuan adat Yenbuba merestorasi terumbu karang Raja Ampat yang rusak akibat insiden Caledonian Sky tujuh tahun lalu,Positive,Positive,Neutral,,,
,,,,,,
Pemuda asli Papua tewas diduga akibat dianiaya polisi â€“ 'Nyawa kami seakan mudah sekali dibunuh',Negative,Negative,Neutral,,,
,,,,,,
"Tunjangan rumah DPRD Jakarta, Jateng, Jabar, dan Sumut mencapai Rp40 juta-Rp70 juta",Neutral,Negative,Neutral,,,
,,,,,,
Anak gajah bernama Tari mati di Taman Nasional Tesso Nilo â€“ Apa penyebab kematiannya?,Negative,Negative,Neutral,,,
,,,,,,
"Purbaya dilantik jadi menteri keuangan, apa saja PR yang harus dituntaskan?",Neutral,Positive,Neutral,,,
,,,,,,
Aktivis lingkungan NTT ditemukan meninggal â€“ Apa yang diketahui sejauh ini?,Negative,Negative,Neutral,,,
,,,,,,
'Mamah tidak rela hidup terus-terusan susah' â€“ Kisah ibu dan dua anak di Kabupaten Bandung mengakhiri hidup diduga karena tekanan ekonomi,Negative,Negative,Neutral,,,
,,,,,,
Sri Mulyani minta maaf setelah serahkan jabatan kepada menkeu yang baru,Neutral,Positive,Neutral,,,
,,,,,,
21 tahun kematian Munir â€“ Mengapa kasusnya sulit diungkap?,Negative,Negative,Negative,,,
,,,,,,
Mengapa foto Menhut Raja Juli bermain domino dengan bekas tersangka pembalak liar problematik?,Neutral,Negative,Neutral,,,
,,,,,,
"Didakwa lakukan makar, empat warga Papua mulai disidangkan di Makassar â€“ 'Mereka cuma antar surat, tapi dituduh berencana makar'",Neutral,Negative,Neutral,,,
,,,,,,
Dari tumpukan sampah menjadi benda berguna: Kisah warga Sumenep atasi masalah sampah yang semakin 'serius',Positive,Positive,Neutral,,,
